rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
1,871.7,791,第五回奥の細道むすびの地 全国競技かるた大垣大会,2017-05-03,大垣大会,18,Ｅ１級(E):ミラー欠落100%(25件); 無対戦参加者38%(10人); 優勝者導出なし / Ｅ３級(E):ミラー欠落100%(25件); 無対戦参加者38%(10人); 優勝者導出なし / Ｃ1級(C):ミラー欠落100%(50件); 無対戦参加者37%(19人); 優勝者導出なし
2,504.0,1184,第79回全国競技かるた東京東会大会(E),2026-01-18,東京東会大会,14,E1(E):ミラー欠落100%(15件); 優勝者導出なし / E2(E):ミラー欠落100%(15件); 優勝者導出なし / E3(E):ミラー欠落100%(15件); 優勝者導出なし
3,400.0,851,第9回千葉県かるた大会,,千葉県大会,12,上級(-):相手未解決100%(20件); round進行異常1箇所 / 中級②(-):相手未解決100%(44件); round進行異常1箇所 / 初級⑤(-):相手未解決100%(44件); round進行異常1箇所
4,267.2,656,第22回全国小倉百人一首かるた競技広島大会,2011-05-04,広島大会,6,Ｅ級(E):相手未解決19%(6件); ミラー欠落100%(25件); 優勝者導出なし / A(A):相手未解決17%(11件); ミラー欠落100%(45件); 優勝者導出なし / Ｄ１級(D):相手未解決10%(6件); ミラー欠落100%(34件); 優勝者導出なし
5,264.1,646,第64回全国競技かるた東京東会大会,2011-01-16,東京東会大会,12,Ａ級(A):相手未解決19%(41件); ミラー欠落21%(27件) / Ｂ級(B):相手未解決18%(44件); ミラー欠落17%(34件) / Ｄ１級(D):相手未解決13%(13件); ミラー欠落20%(11件)
6,254.3,647,第56回新春全国競技かるた大会,2011-01-09,新春全国大会,11,Ａ級(A):相手未解決17%(33件); ミラー欠落24%(27件) / Ｄ３級(D):相手未解決14%(13件); ミラー欠落25%(13件) / Ｅ１級(E):相手未解決14%(13件); ミラー欠落21%(11件)
7,246.0,641,第34回全国小・中学生かるた競技選手権福井大会,2011-11-06,小中学生選手権福井,8,中学生(-):相手未解決100%(54件); 優勝者導出なし / 6年生(-):相手未解決100%(96件) / 5年生(-):相手未解決100%(99件)
8,231.2,694,第16回神奈川県かるた選手権大会,2013-11-23,神奈川県選手権,28,D3(D):相手未解決19%(3件); ミラー欠落23%(3件); 優勝者導出なし / F1級(-):相手未解決6%(1件); ミラー欠落7%(1件); 優勝者導出なし / B1(B):相手未解決4%(1件); ミラー欠落5%(1件); 優勝者導出なし
9,222.2,1464,第1回全国競技かるた札幌大会,2017-09-17,札幌大会,5,C級(C):相手未解決23%(23件); ミラー欠落29%(17件); 優勝者導出なし / B級(B):相手未解決19%(23件); ミラー欠落21%(19件); 優勝者導出なし / D級(D):相手未解決15%(18件); ミラー欠落25%(24件); 優勝者導出なし
10,217.0,671,大学選手権 一回生の部,2012-08-12,,9,大学代表の部(-):相手未解決27%(27件); 優勝者導出なし / ２回生の部A(A):相手未解決33%(31件) / ２回生の部B(B):相手未解決31%(30件)
