tournament_id,tournament,class,round,round_label,m1_id,m1_player,m2_id,m2_player,wrong_match_id,wrong_player,current_result,proposed_result,proposed_margin_fix,category,confidence,evidence
637,"第30回全国かるた競技東京吉野会大会(A,B)",A,2,2回戦,418459,佐藤 寿剛,418543,坪井 寛行,418459+418543,(both),win/win,UNRESOLVED,,unresolved,-,HTML期(2011)・原本HTMLページ未特定。単一mark誤記の可能性大だが原本未読=判定保留
655,第18回東京都かるた大会,D1,3,3回戦,427455,関口 幸那,427473,内田 寛子,427455+427473,(both),win/win,UNRESOLVED,,unresolved,-,HTML期(2011第18回)・原本HTMLページ未特定(manifestは第19回以降)。3件とも同得点R3=判定保留
655,第18回東京都かるた大会,D1,3,3回戦,427469,瀬野 瑛子,427482,中山 俊紀,427469+427482,(both),win/win,UNRESOLVED,,unresolved,-,HTML期(2011第18回)・原本HTMLページ未特定(manifestは第19回以降)。3件とも同得点R3=判定保留
655,第18回東京都かるた大会,D2,3,3回戦,427525,樋口満里絵,427539,佐藤 水風,427525+427539,(both),win/win,UNRESOLVED,,unresolved,-,HTML期(2011第18回)・原本HTMLページ未特定(manifestは第19回以降)。3件とも同得点R3=判定保留
657,第3回全国かるた競技佐賀大会,C,1,1回戦,428419,加納 志帆,428497,栗原 安佳里,428497,栗原 安佳里,win,lose,,flip,high,t657 加納(No.3)は栗原に○で三位進出。栗原行は不正形(単一試合+空欄×)→栗原R1敗
657,第3回全国かるた競技佐賀大会,C,1,1回戦,428433,野口 菜々,428499,龍 加那子,428499,龍 加那子,win,lose,,flip,high,t657 野口(No.6)は龍に○で4位進出。龍行同様不正形→龍R1敗
662,第13回 稲城市民かるた大会,対戦結果,4,四回戦,430988,入山 玲美,431051,中村 美優,431051,中村 美優,win,lose,,flip,med,t662 原本両者○(枚数19)。入山はR1R2敗・敢闘賞(≥1勝)→R4勝。中村は無賞→中村敗
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,３年生,1,1回戦,437770,臼田 和哉,437802,小林 加奈,437802,小林 加奈,win,lose,,flip,high,原本の敗者行に○誤記。勝者臼田は3位まで進出
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,３年生,1,1回戦,437798,小野澤 知音,437803,奥田 絵美,437803,奥田 絵美,win,lose,,flip,high,敗者行○誤記。勝者小野澤はR2進出
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,３年生,1,1回戦,437800,赤尾 奈津,437804,土田 舞乃,437804,土田 舞乃,win,lose,,flip,high,敗者行○誤記。勝者赤尾はR2進出
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437805,西 みゆり,437851,河野 早希,437851,河野 早希,win,lose,,flip,high,敗者行○誤記。勝者西みゆりは優勝
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437810,林 かなで,437852,山田 悠華,437852,山田 悠華,win,lose,,flip,high,敗者行○誤記。勝者林かなでは準優勝
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437819,三田村 瑠琉,437853,坪田 明佑美,437853,坪田 明佑美,win,lose,,flip,high,敗者行○誤記。勝者三田村は3位
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437835,松林 和奏,437854,小松 唯花,437854,小松 唯花,win,lose,,flip,high,敗者行○誤記。勝者松林はR2進出
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437841,笠島 遥咲,437855,杉浦 妃成乃,437855,杉浦 妃成乃,win,lose,,flip,high,敗者行○誤記。勝者笠島はR2進出
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437847,島田 達也,437856,石丸 陽登,437856,石丸 陽登,win,lose,,flip,high,敗者行○誤記。勝者島田はR2進出
674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,２年生,1,1回戦,437849,久末 遥奈,437857,和田 さち,437857,和田 さち,win,lose,,flip,high,敗者行○誤記。勝者久末はR2進出
695,第1回関東地区初心者かるた大会,F級試合結果（所属会順）,3,2回戦,447818,岡 諒太朗,447933,埋橋 愛夏美,447818+447933,(both),win/win,UNRESOLVED,,unresolved,-,HTML期(2013)・原本HTMLページ未特定=判定保留
724,第5回東京都初心者かるた大会,試合結果,3,3回戦,464984,寺地 穂果,465019,西谷 奏音,464984+465019,(both),win/win,UNRESOLVED,,unresolved,-,HTML期(2014)・原本HTMLページ未特定=判定保留
733,第16回稲城市民かるた大会,対戦結果,2,2回戦,471296,杉野 碩彦,471302,清水 千華,471302,清水 千華,win,lose,,flip,high,t733 原本両者○(枚数4)。Swiss:清水R3相手0-2/杉野R3相手1-1→杉野R2勝
758,第17回上杉杯争奪全国競技かるた大会,D,6,6回戦,491015,高橋 美久,491021,青木 奈緒,491021,青木 奈緒,win,lose,,flip,high,t758 大会報告D-1級:高橋優勝/青木準優勝。6回戦=決勝→高橋勝
777,第28回全国競技かるた水沢大会,Ｂ級,2,2回戦,506380,反町 有紀,506422,藤間 華子,506422,藤間 華子,win,lose,,flip,high,t777 反町はR2後もR3R4継続(4位)。藤間はR2で行終了(敗退)→藤間R2敗
788,第25回全国競技かるた多摩大会 初心者の部 日野市大会,詳細結果,3,4回戦,516262,吉祥女子中,516265,日野百人一首,516265,日野百人一首,win,lose,,flip/exclude,high,t788 ★中学生団体戦(個人戦でない)。最終順位で吉祥5位>日野→吉祥勝。枚数11/2不一致・個人戦表から除外推奨
872,第1回競技かるた初段認定奈良大会,対戦結果詳細 (報告用),2,2回戦,570259,山本美緒,570271,大平明佳,570259,山本美緒,lose,win,,flip,high,t872 原本両者×(枚数12)。Swiss:山本R3相手1-1/大平R3相手0-2→山本R2勝(山本勝数0は誤記)
886,第1回競技かるた初段認定宮崎大会,詳報,2,第2回戦,572503,猪﨑 真尋,572563,本田 光,572503,猪﨑 真尋,lose,win,,flip,high,t886 原本両者×(枚数15)。猪﨑勝数2/準優勝、R1○R3×確定→R2は勝
894,第1回競技かるた初段認定石川大会,結果詳報,3,3回戦,573711,辻 しおり,573753,齋田 晶,573711,辻 しおり,lose,win,,flip,high,t894 原本両者×(枚数6)。辻勝数1、R1×R2×確定→R3は勝。齋田勝数0=全敗
921,第3回競技かるた初段認定大分大会,詳細,2,2回戦,582820,小野 蒼馬,582841,鷹﨑 蓬,582820,小野 蒼馬,lose,win,,flip,high,t921 原本両者×(枚数1)。3回戦record対戦から小野1-1/鷹﨑0-2で二重裏付け→小野R2勝
980,第42回全国競技かるた東京吉野会大会(E),E1,4,4回戦,608556,五味淵 愛叶,608565,伊藤 ひなた,608556+608565,(both),win/win,UNRESOLVED,,unresolved,-,"原本=Excel new/11956.xlsx(第42回吉野会 2024-05-03,10級)を特定済だが未精査=判定保留(深掘り可)"
1231,第2回競技かるた初段認定静岡大会,詳細,2,2回戦,733515,岩田 大典,733551,後藤 清那,733551,後藤 清那,win,lose,,flip,high,t1231 原本両者○(枚数6)。R3 record対戦で岩田1-1/後藤0-2→岩田R2勝
1236,第1回競技かるた初段認定愛知県高等学校大会,E,3,3回戦,734875,住田 百々歌,734922,都筑 凜花,734875,住田 百々歌,lose,win,,flip,high,t1236 原本両者×(枚数5)。住田は準優勝(2勝)だがR1敗/R2勝確定→R3は勝
1236,第1回競技かるた初段認定愛知県高等学校大会,E,3,3回戦,734931,相川 優羽,734943,深谷 寧々,734943,深谷 寧々,lose,win,,flip,high,t1236 原本両者×(枚数1)。深谷は準優勝(2勝)だがR1敗/R2勝確定→R3は勝
1282,第3回全国競技かるた初段認定静岡大会,詳細,2,2回戦,749309,岩田 大典,749570,前嶋 優杏,749570,前嶋 優杏,lose,win,,flip,high,t1282 原本両者×(枚数23)。R3 record対戦で岩田0-2/前嶋1-1→前嶋R2勝
