series,year,edition,分類,原本パス,形式,備考,_csv_series,_status_raw,_hp_filetypes_raw,_report_reason_raw,_sample_raw
さがみ野大会,2022,35,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,さがみ野大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第35回全国競技かるたさがみ野大会
ちはやふる小倉山杯,2021,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,ちはやふる小倉山杯,NOT_IN_CORPUS,none,HPに結果ファイル無,★小倉百人一首競技かるた第2回ちはやふる小倉山杯
ちはやふる小倉山杯,2022,3,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,ちはやふる小倉山杯,IN_CORPUS,none,,[YouTube中継あり]小倉百人一首競技かるた第3回ちはやふる小倉山杯
ちはやふる小倉山杯,2023,4,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,ちはやふる小倉山杯,IN_CORPUS,none,,第4回ちはやふる小倉山杯
ちはやふる小倉山杯,2024,5,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,ちはやふる小倉山杯,IN_CORPUS,none,,小倉百人一首競技かるた第5回ちはやふる小倉山杯
ちはやふる小倉山杯,2025,6,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,ちはやふる小倉山杯,IN_CORPUS,none,,小倉百人一首競技かるた第6回ちはやふる小倉山杯
ちはやふる小倉山杯,2026,7,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,ちはやふる小倉山杯,NOT_IN_CORPUS,none,HPに結果ファイル無,小倉百人一首競技かるた第7回ちはやふる小倉山杯
シニア選手権,2016,28,c,karuta_results/2016/769_160514dai28kai_senior_result.xls,excel(単一シート),原本Excelは実在するが中身は「優勝回数集計」表のみ(級別優勝者名の一覧)。個々の対戦結果(誰対誰、何枚)は含まれない。実質、入賞者のみ資料と同種＝取込不能。report記載は「特殊形式/未取込」だが内容精査の結果、対戦データ非包含と判明(本セッションでxlrd実査)。,シニア選手権大会,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第28回全日本競技かるたシニア選手権大会
シニア選手権,2026,38,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,シニア選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,小倉百人一首競技かるた第38回全日本シニア選手権大会
テブル大会,2023,1,e,karuta_results/new/8760.xlsx,excel(スコープ外),COVERAGE_classification.md §2 に明記: 「テーブルかるたは競技かるたと別種目のためユーザー判断で保留」(2026-06-26)。原本は存在し実際に一度は解析コーパスに含まれていた(IN_CORPUS)が、意図的にDB投入対象から除外されている。取込漏れではなくスコープ外。,テブル大会,IN_CORPUS,excel,,小倉百人一首 第1回テーブルかるた大会
テブル大会,2024,2,e,,(HPに結果ファイル無),上記と同一シリーズ(テーブルかるた=スコープ外)。加えてHP自体に結果ファイル掲載なし。,テブル大会,IN_CORPUS,none,,小倉百人一首第2回テーブルかるた大会
ドイツミュンヘン大会,2019,1,a,karuta_results/2019/1316_Munich_shosai.xlsx,excel,"COVERAGE_classification.md §3「救済済み」に ""1316_Munich"" として掲載済＝2026-06-26 recovery.jsonl 経由でリハDBに投入済のはず。series_coverage.csv では NOT_IN_CORPUS表示だが、これは series_coverage.py 内 RECOVERY_MAP の名寄せ(""ミュンヘン大会""→別mkey)が原因の判定バグと判断(本セッションでコード確認)。★最優先: 再パース不要。まず本番/リハDBに「ミュンヘン」関連tournamentが存在するか、edition_idとリンクされているかを確認すべき(DB調査は次フェーズ)。",ドイツミュンヘン大会,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第1回ドイツ・ミュンヘンかるた大会
バンコク大会,2010,6,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,バンコク大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第6回バンコクかるた大会
バンコク大会,2014,2,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,バンコク大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第2回百人一首バンコクかるた大会
世代別交流大会,2025,2,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,世代別交流大会,IN_CORPUS,none,,第2回全国競技かるた世代別交流大会
中学生選手権(個人戦),2019,31,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,中学生選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★小倉百人一首競技かるた第31回全国中学生選手権大会
中学生選手権(個人戦),2026,38,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,中学生選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,小倉百人一首競技かるた第38回全国中学生選手権大会（個人戦）
九州地区高等学校大会,2014,4,b,karuta_results/2014/572_2014_kyushu_koukousei_result.xls,excel(順位戦/N回戦ブロック),対戦データ実在(氏名/所属/相手/勝敗/枚数をN回戦ブロックで反復記載する総当たり形式)。本セッションでxlrd実査し確認。既存 positional.py の「N回戦」署名検出と類似構造だが級別ブロック混在のため要検証。,九州地区高等学校大会,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第4回九州地区高等学校小倉百人一首かるた競技大会
京都大会,2026,78,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,京都大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第78回全国競技かるた京都大会
全九州高等学校総合文化祭沖縄大会部門,2017,1,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,全九州高等学校総合文化祭沖縄大会部門,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第1回全九州高等学校総合文化祭沖縄大会 小倉百人一首かるた部門（1日目）
全国選抜大会,2022,37,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,選抜大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第37回全国選抜大会
兵庫県大会,2021,15,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,兵庫県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第15回競技かるた兵庫県大会
        
	【後援】"
初段認定三原大会,2022,1,b,karuta_results/new/6414.xls,excel(暗号化),COVERAGE_classification.md §6 記載の通りパスワード暗号化(XLRDError)。パスワード入手が前提。現行パーサでは開封不可。,初段認定三原大会,IN_CORPUS,excel,,第1回競技かるた初段認定三原大会
初段認定上海大会,2024,1,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,初段認定上海大会,IN_CORPUS,none,,第1回競技かるた初段認定上海大会
初段認定兵庫大会,2022,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定兵庫大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第1回競技かるた初段認定兵庫大会
初段認定和歌山大会,2024,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定和歌山大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第2回競技かるた初段認定和歌山大会
初段認定大分大会,2021,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定大分大会,NOT_IN_CORPUS,none,HPに結果ファイル無,★第1回競技かるた初段認定大分大会
初段認定島根大会,2023,5,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,初段認定島根大会,IN_CORPUS,none,,第5回競技かるた初段認定島根大会
初段認定愛媛大会,2021,1,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,初段認定愛媛大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第1回競技かるた初段認定愛媛大会
初段認定朝倉大会,2022,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定朝倉大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第1回競技かるた初段認定朝倉大会
初段認定東京都高等学校大会,2022,2,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,初段認定東京都高等学校大会,IN_CORPUS,none,,第2回競技かるた初段認定東京都高等学校大会
初段認定東大阪会大会,2022,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定東大阪会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第1回競技かるた初段認定東大阪かるた会大会
初段認定湘南大会,2021,1,b,"karuta_results/new/5720.xlsx (2022-10 WP再掲載, mdl_id=5720, orig=第1回湘南大会結果報告.xlsx)",excel(順位戦/N回戦ブロック),"2021年開催予定分は《延期》扱いでHP上は結果ファイル無(no_result)。実際の結果は2022年に新WP上へ「第1回競技かるた湘南大会」として掲載され、mdl_id=5720のxlsxに対戦データが実在(氏名/所属/相手/勝敗/枚数×5回戦、本セッションでopenpyxl実査)。年またぎのため series_coverage.csv 上は edition=1,2021 に紐付かず見落とされていた可能性。順位戦形式で現行の標準パーサでは列構造が合わず未取込と推定。",初段認定湘南大会,NOT_IN_CORPUS,excel/none,特殊形式/未取込(要確認),★第1回競技かるた初段認定湘南大会
